Date,Elevations (Ft.),Discharge (Ft.^3 per Sec)
1-Jan,1.78,
2-Jan,4.36,
3-Jan,5,704
4-Jan,5.82,"1,120"
5-Jan,5.59,"1,000"
6-Jan,3.59,
7-Jan,2.27,
8-Jan,2.59,
9-Jan,2.56,
10-Jan,2.14,
11-Jan,1.88,
12-Jan,2.11,
13-Jan,2.04,
14-Jan,1.77,
15-Jan,2,
16-Jan,2.13,
17-Jan,3.89,
18-Jan,16.26,
19-Jan,7.61,"1,820"
20-Jan,6.71,
21-Jan,8.44,"2,050"
22-Jan,6.59,"1,430"
23-Jan,8.26,"2,180"
24-Jan,9.07,"2,530"
25-Jan,9.27,"2,610"
26-Jan,9,"2,500"
27-Jan,8.99,"2,490"
28-Jan,8.79,"2,410"
29-Jan,7.97,"2,050"
30-Jan,6.85,"1,560"
31-Jan,4.92,702
1-Feb,2.77,
2-Feb,1.62,
3-Feb,1.45,
4-Feb,1.67,
5-Feb,1.77,
6-Feb,1.51,
7-Feb,1.52,
8-Feb,1.35,
9-Feb,1.18,
10-Feb,1.79,
11-Feb,1.54,
12-Feb,1.26,
13-Feb,1.28,
14-Feb,4.41,
15-Feb,4.45,499
16-Feb,4.36,471
17-Feb,3.04,
18-Feb,2.52,
19-Feb,2.02,
20-Feb,5.43,
21-Feb,5.03,743
22-Feb,6.89,"1,570"
23-Feb,6.81,"1,520"
24-Feb,6.39,"1,320"
25-Feb,3.84,
26-Feb,2.64,
27-Feb,2.26,
28-Feb,2.18,
29-Feb,,
1-Mar,1.75,
2-Mar,1.4,
3-Mar,1.95,
4-Mar,2.28,
5-Mar,4.53,
6-Mar,6.35,"1,220"
7-Mar,4.4,425
8-Mar,4.74,613
9-Mar,4.48,
10-Mar,2.48,
11-Mar,3.28,
12-Mar,3.15,
13-Mar,5.01,722
14-Mar,3.53,
15-Mar,2.46,
16-Mar,2.23,
17-Mar,1.96,
18-Mar,1.53,
19-Mar,1.47,
20-Mar,1.41,
21-Mar,1.32,
22-Mar,1.28,
23-Mar,1.39,
24-Mar,2.2,
25-Mar,3.45,
26-Mar,3.42,
27-Mar,3.47,
28-Mar,2.92,
29-Mar,5.18,
30-Mar,5.13,765
31-Mar,6.21,"1,240"
1-Apr,6.2,"1,160"
2-Apr,3.48,
3-Apr,2.88,
4-Apr,2.19,
5-Apr,1.42,
6-Apr,1.15,
7-Apr,1.26,
8-Apr,1.4,
9-Apr,1.79,
10-Apr,2.23,
11-Apr,3.49,
12-Apr,3.79,
13-Apr,4.86,632
14-Apr,3.28,
15-Apr,2.56,
16-Apr,2.31,
17-Apr,2.11,
18-Apr,4.75,
19-Apr,4.32,380
20-Apr,5.38,859
21-Apr,6.45,"1,330"
22-Apr,5.21,849
23-Apr,2.56,
24-Apr,2.18,
25-Apr,2.33,
26-Apr,2.46,
27-Apr,1.93,
28-Apr,2.4,
29-Apr,3.25,
30-Apr,1.97,
1-May,1.58,
2-May,2.09,
3-May,2.68,
4-May,2.53,
5-May,1.79,
6-May,1.51,
7-May,1.42,
8-May,1.56,
9-May,1.79,
10-May,1.79,
11-May,1.72,
12-May,1.3,
13-May,1.07,
14-May,1.32,
15-May,1.42,
16-May,1.97,
17-May,2.52,
18-May,2.18,
19-May,2.37,
20-May,2.17,
21-May,2.08,
22-May,5.05,
23-May,2.55,191
24-May,1.71,189
25-May,1.76,187
26-May,1.93,185
27-May,1.77,183
28-May,1.73,182
29-May,4.8,657
30-May,3.61,208
31-May,3.38,
1-Jun,2.87,
2-Jun,4.01,
3-Jun,4.2,
4-Jun,5.84,448
5-Jun,7.99,
6-Jun,2.38,
7-Jun,5.63,"1,020"
8-Jun,4.54,502
9-Jun,3.77,
10-Jun,2.39,
11-Jun,2.22,
12-Jun,2.36,
13-Jun,2.34,
14-Jun,2.06,
15-Jun,1.67,
16-Jun,1.47,
17-Jun,1.57,
18-Jun,1.64,
19-Jun,1.52,
20-Jun,2.07,
21-Jun,2.8,
22-Jun,2.28,
23-Jun,2.45,
24-Jun,3.7,
25-Jun,6.15,
26-Jun,3.57,
27-Jun,5.56,918
28-Jun,4.42,
29-Jun,3.54,
30-Jun,6.3,"1,290"
1-Jul,6.99,"1,610"
2-Jul,6.31,"1,320"
3-Jul,3.1,
4-Jul,1.66,
5-Jul,1.56,
6-Jul,1.49,
7-Jul,1.8,
8-Jul,2.01,234
9-Jul,1.97,223
10-Jul,3.56,
11-Jul,3.18,
12-Jul,3.57,
13-Jul,3.42,
14-Jul,3.65,
15-Jul,2.58,
16-Jul,4.93,
17-Jul,2.73,
18-Jul,2.53,
19-Jul,3.92,
20-Jul,3.78,
21-Jul,2.87,
22-Jul,2.68,
23-Jul,1.87,
24-Jul,1.81,
25-Jul,1.57,
26-Jul,1.35,
27-Jul,1.24,
28-Jul,1.17,
29-Jul,1.09,
30-Jul,1.09,
31-Jul,1.37,
1-Aug,1.96,
2-Aug,3.2,
3-Aug,3.31,
4-Aug,3.52,
5-Aug,3.88,
6-Aug,3.4,
7-Aug,3.87,
8-Aug,11.97,
9-Aug,8.19,
10-Aug,6.82,
11-Aug,7.68,
12-Aug,8.64,
13-Aug,9.04,
14-Aug,9.16,
15-Aug,9.12,
16-Aug,8.96,
17-Aug,8.77,
18-Aug,8.62,
19-Aug,8.42,
20-Aug,8.21,
21-Aug,7.67,
22-Aug,5.02,
23-Aug,2.5,
24-Aug,2,
25-Aug,3.29,
26-Aug,,
27-Aug,,
28-Aug,,
29-Aug,32.11,
30-Aug,25.44,
31-Aug,25.5,
1-Sep,25.27,
2-Sep,24.73,
3-Sep,24.23,
4-Sep,23.82,
5-Sep,23.28,
6-Sep,22.68,
7-Sep,22.04,
8-Sep,21.28,
9-Sep,20.24,
10-Sep,18.89,
11-Sep,17.13,
12-Sep,15.72,
13-Sep,14.46,
14-Sep,13.09,
15-Sep,11.85,
16-Sep,10.84,
17-Sep,9.94,
18-Sep,11.11,
19-Sep,8.09,
20-Sep,6.64,
21-Sep,8.92,
22-Sep,8.4,
23-Sep,9.93,
24-Sep,9.99,
25-Sep,9.84,
26-Sep,9.76,
27-Sep,9.78,
28-Sep,9.75,
29-Sep,9.89,
30-Sep,9.69,
1-Oct,9.52,
2-Oct,9.52,
3-Oct,8.94,
4-Oct,8.92,
5-Oct,9.73,
6-Oct,9.78,
7-Oct,9.68,
8-Oct,9.45,
9-Oct,8.54,
10-Oct,7.77,
11-Oct,7.25,
12-Oct,5.89,
13-Oct,3.08,
14-Oct,2.61,
15-Oct,2.42,
16-Oct,1.81,
17-Oct,2.3,
18-Oct,2.31,
19-Oct,2.54,
20-Oct,3.61,
21-Oct,3.08,
22-Oct,5.25,
23-Oct,4.25,
24-Oct,3.67,
25-Oct,2.79,
26-Oct,2,
27-Oct,1.8,
28-Oct,1.16,
29-Oct,1.39,
30-Oct,1.56,
31-Oct,1.79,
1-Nov,5.06,
2-Nov,4.63,
3-Nov,5.71,
4-Nov,4.95,
5-Nov,3.95,
6-Nov,2.75,
7-Nov,1.97,
8-Nov,1.67,
9-Nov,1.78,
10-Nov,1.87,
11-Nov,2.09,
12-Nov,1.95,
13-Nov,2.1,
14-Nov,2.25,
15-Nov,2,
16-Nov,1.86,
17-Nov,1.88,
18-Nov,1.76,
19-Nov,1.18,
20-Nov,1.83,
21-Nov,2.05,
22-Nov,1.57,
23-Nov,1.47,
24-Nov,1.61,
25-Nov,1.58,
26-Nov,1.32,
27-Nov,1.45,
28-Nov,1.93,
29-Nov,1.56,
30-Nov,1.36,
1-Dec,1.38,
2-Dec,1.41,
3-Dec,2.63,
4-Dec,4.27,
5-Dec,3.98,
6-Dec,4.1,
7-Dec,5.35,
8-Dec,4.89,
9-Dec,5.4,
10-Dec,5.04,
11-Dec,3.79,
12-Dec,1.94,
13-Dec,1.54,
14-Dec,1.53,
15-Dec,1.39,
16-Dec,1.88,
17-Dec,4.59,
18-Dec,3.57,
19-Dec,3.52,
20-Dec,4.23,
21-Dec,3.42,
22-Dec,3.6,
23-Dec,3.01,
24-Dec,1.93,
25-Dec,1.66,
26-Dec,2.05,
27-Dec,1.64,
28-Dec,1.79,
29-Dec,1.69,
30-Dec,1.63,
31-Dec,1.29,